,age,risk,horizon,capital,equity,mf,cash,goal_preservation,goal_retirement,goal_short_term,goal_wealth
56,22,0,3,20311,68.0,22.0,10.0,False,False,False,True
57,31,0,3,24060,21.11,56.67,22.22,False,False,True,False
58,22,1,5,27213,83.1,9.97,6.93,False,False,False,True
59,25,1,5,28821,55.0,30.0,15.0,True,False,False,False
60,31,1,3,22887,44.0,36.0,20.0,False,False,True,False
61,22,2,3,31901,73.0,17.0,10.0,False,False,True,False
62,26,0,6,32538,49.0,36.0,15.0,False,True,False,False
63,24,1,4,39137,81.08,12.16,6.76,False,False,False,True
64,29,2,5,24194,63.83,30.85,5.32,False,False,False,False
65,29,0,5,25291,60.61,29.29,10.1,False,False,False,True
66,20,0,3,25804,33.33,44.44,22.22,False,False,True,False
67,31,0,7,28708,44.0,41.0,15.0,False,True,False,False
68,20,1,3,48249,80.0,15.0,5.0,False,True,False,False
69,21,1,4,26737,62.5,32.29,5.21,False,False,False,False
70,23,1,3,29384,52.0,28.0,20.0,False,False,True,False
71,28,1,7,12345,52.0,33.0,15.0,True,False,False,False
72,33,0,3,45437,18.89,58.89,22.22,False,False,True,False
73,21,0,3,26689,69.0,21.0,10.0,False,False,False,True
74,20,0,4,20708,36.84,42.11,21.05,True,False,False,False
75,31,1,3,28825,49.0,36.0,15.0,True,False,False,False
76,29,2,8,58181,71.0,24.0,5.0,True,False,False,False
77,18,2,3,24564,85.0,10.0,5.0,False,True,False,False
78,32,1,5,28496,73.17,20.73,6.1,False,False,False,True
79,26,0,4,22590,62.5,27.08,10.42,False,False,False,True
80,24,1,3,36346,76.0,19.0,5.0,False,True,False,False
81,25,2,6,22394,70.59,23.53,5.88,True,False,False,False
82,21,0,4,19231,65.93,23.08,10.99,False,False,False,True
83,20,0,3,38399,70.0,20.0,10.0,False,False,False,True
84,23,1,5,13981,61.22,33.67,5.1,False,False,False,False
85,24,1,3,38524,76.0,19.0,5.0,False,True,False,False
86,26,2,5,12877,65.93,28.57,5.49,False,False,False,False
87,18,2,3,30904,85.0,10.0,5.0,False,True,False,False
88,26,1,5,39957,54.0,31.0,15.0,True,False,False,False
89,30,0,3,51260,26.32,52.63,21.05,True,False,False,False
90,25,0,6,26847,31.58,47.37,21.05,True,False,False,False
91,26,1,3,26467,74.0,21.0,5.0,False,True,False,False
92,24,0,3,27546,41.0,49.0,10.0,False,False,False,False
93,32,1,4,34621,73.17,20.73,6.1,False,False,False,True
94,28,1,9,24906,58.91,36.1,4.99,False,False,False,False
95,24,0,8,42529,28.89,48.89,22.22,False,False,True,False
96,30,0,3,20365,35.0,55.0,10.0,False,False,False,False
97,26,1,3,32075,60.81,34.2,4.99,False,False,False,False
98,25,1,7,23210,55.0,30.0,15.0,True,False,False,False
99,24,1,5,23978,56.0,29.0,15.0,True,False,False,False
100,22,2,3,17145,78.0,17.0,5.0,True,False,False,False
101,26,1,4,15180,59.38,35.63,5.0,False,False,False,False
102,18,0,3,20689,70.0,20.0,10.0,False,False,False,True
103,21,1,3,23075,54.0,26.0,20.0,False,False,True,False
104,21,1,3,31298,79.0,16.0,5.0,False,True,False,False
105,25,1,5,30667,80.0,13.33,6.67,False,False,False,True
106,18,2,4,18122,70.59,23.53,5.88,False,False,False,False
107,23,2,5,18071,72.29,21.69,6.02,True,False,False,False
108,20,0,3,37005,36.84,42.11,21.05,True,False,False,False
109,19,1,4,28357,55.0,25.0,20.0,False,False,True,False
110,23,0,3,15500,30.0,47.78,22.22,False,False,True,False
111,23,2,3,11246,75.16,19.87,4.97,False,False,False,False
112,22,2,3,25551,85.0,10.0,5.0,False,False,False,True
113,24,2,6,21294,81.08,12.16,6.76,False,True,False,False
114,22,1,3,20634,64.61,30.4,4.99,False,False,False,False
115,18,2,4,28546,70.59,23.53,5.88,False,False,False,False
116,23,2,3,16875,85.0,10.0,5.0,False,True,False,False
117,21,0,8,25688,35.79,43.16,21.05,True,False,False,False
118,25,0,6,34735,63.16,26.32,10.53,False,False,False,True
119,25,0,7,23786,27.78,50.0,22.22,False,False,True,False
120,20,0,6,48070,33.33,44.44,22.22,False,False,True,False
121,22,2,5,24872,82.47,9.7,7.82,False,False,False,True
122,31,0,3,23101,21.11,56.67,22.22,False,False,True,False
123,26,2,8,18398,85.0,10.0,5.0,False,True,False,False
124,20,0,5,16970,33.33,44.44,22.22,False,False,True,False
125,27,2,6,22590,77.92,15.58,6.49,False,True,False,False
126,18,1,3,18399,80.0,15.0,5.0,False,True,False,False
127,28,1,3,22814,72.0,23.0,5.0,False,True,False,False
128,22,1,5,23031,53.0,27.0,20.0,False,False,True,False
129,24,2,6,12128,71.43,22.62,5.95,True,False,False,False
130,25,2,3,17110,73.43,21.6,4.97,False,False,False,False
131,24,1,5,18433,60.61,34.34,5.05,False,False,False,False
132,24,2,6,19392,82.67,9.73,7.6,False,False,False,True
133,26,2,6,22284,65.93,28.57,5.49,False,False,False,False
134,24,1,4,23268,56.0,29.0,15.0,True,False,False,False
135,21,0,4,15063,32.22,45.56,22.22,False,False,True,False
136,19,2,7,68174,85.0,10.0,5.0,False,False,False,True
137,29,1,3,25179,46.0,34.0,20.0,False,False,True,False
138,28,1,5,40289,47.0,33.0,20.0,False,False,True,False
139,18,2,4,19912,70.59,23.53,5.88,False,False,False,False
140,21,1,5,28063,83.22,9.85,6.93,False,False,False,True
141,20,1,6,26373,63.16,31.58,5.26,False,False,False,False
142,29,2,3,24732,82.35,12.67,4.98,False,True,False,False
143,28,2,5,21891,83.05,9.77,7.18,False,False,False,True
144,28,1,6,24782,58.17,36.84,4.99,False,False,False,False
145,28,0,5,24733,24.44,53.33,22.22,False,False,True,False
146,21,1,7,15838,59.0,26.0,15.0,True,False,False,False
147,25,1,3,22852,85.0,10.0,5.0,False,False,False,True
148,18,0,5,25169,36.84,42.11,21.05,True,False,False,False
149,25,2,5,17749,82.77,9.74,7.49,False,False,False,True
150,25,0,3,16611,65.0,25.0,10.0,False,False,False,True
151,22,1,3,22334,85.0,10.0,5.0,False,False,False,True
152,22,2,4,23375,73.17,20.73,6.1,True,False,False,False
153,25,2,3,31425,85.0,10.0,5.0,False,False,False,True
154,25,1,3,22522,85.0,10.0,5.0,False,False,False,True
155,18,2,3,34141,75.0,15.0,10.0,False,False,True,False
156,19,0,6,34988,55.0,30.0,15.0,False,True,False,False
157,22,0,3,33740,34.74,44.21,21.05,True,False,False,False
158,28,0,3,34645,47.0,38.0,15.0,False,True,False,False
159,25,1,3,32943,55.0,30.0,15.0,True,False,False,False
160,30,0,6,35130,22.22,55.56,22.22,False,False,True,False
161,25,1,4,25045,50.0,30.0,20.0,False,False,True,False
162,23,2,3,27412,85.0,10.0,5.0,False,True,False,False
163,28,2,4,12685,64.52,24.73,10.75,False,False,True,False
164,18,2,5,11303,75.0,18.75,6.25,True,False,False,False
165,23,0,6,13643,33.68,45.26,21.05,True,False,False,False
166,27,1,3,37451,73.0,22.0,5.0,False,True,False,False
167,21,0,3,19918,32.22,45.56,22.22,False,False,True,False
168,26,0,3,25350,30.53,48.42,21.05,True,False,False,False
169,26,2,3,24868,74.0,21.0,5.0,True,False,False,False
170,20,0,4,22752,66.67,22.22,11.11,False,False,False,True
171,25,2,7,37571,73.43,21.6,4.97,False,False,False,False
172,22,1,3,23943,53.0,27.0,20.0,False,False,True,False
173,25,0,4,40014,27.78,50.0,22.22,False,False,True,False
174,23,2,3,33822,77.0,18.0,5.0,True,False,False,False
175,20,1,5,24777,75.0,18.75,6.25,False,True,False,False
176,21,1,7,28754,59.0,26.0,15.0,True,False,False,False
177,24,0,6,51798,32.63,46.32,21.05,True,False,False,False
178,28,2,6,24235,64.52,30.11,5.38,False,False,False,False
179,27,1,8,13913,73.0,22.0,5.0,False,True,False,False
180,29,1,4,22585,75.95,17.72,6.33,False,False,False,True
181,26,1,3,14959,60.81,34.2,4.99,False,False,False,False
182,22,0,7,16796,34.74,44.21,21.05,True,False,False,False
183,26,1,5,19544,59.38,35.63,5.0,False,False,False,False
184,20,0,3,46364,70.0,20.0,10.0,False,False,False,True
185,20,1,3,31782,60.0,25.0,15.0,True,False,False,False
186,25,1,5,27304,80.0,13.33,6.67,False,False,False,True
187,26,0,3,23612,49.0,36.0,15.0,False,True,False,False
188,24,0,4,34677,51.0,34.0,15.0,False,True,False,False
189,26,0,4,13162,62.5,27.08,10.42,False,False,False,True
190,21,2,4,19426,83.22,9.85,6.93,False,True,False,False
191,25,1,7,21857,50.0,30.0,20.0,False,False,True,False
192,23,1,7,36468,57.0,28.0,15.0,True,False,False,False
193,23,2,4,24845,82.58,9.71,7.71,False,False,False,True
194,27,0,4,39279,29.47,49.47,21.05,True,False,False,False
195,23,0,4,22032,52.0,33.0,15.0,False,True,False,False
196,25,1,5,33071,70.59,23.53,5.88,False,True,False,False
197,23,1,5,32021,57.0,28.0,15.0,True,False,False,False
198,23,2,3,49750,75.16,19.87,4.97,False,False,False,False
199,31,2,3,21600,80.54,14.48,4.98,False,True,False,False
200,20,1,3,15203,85.0,10.0,5.0,False,False,False,True
201,19,1,4,29952,63.16,31.58,5.26,False,False,False,False
202,27,1,5,29809,68.97,25.29,5.75,False,True,False,False
203,24,1,3,40973,51.0,29.0,20.0,False,False,True,False
204,29,2,7,22359,66.0,24.0,10.0,False,False,True,False
205,29,1,4,18441,46.0,34.0,20.0,False,False,True,False
206,25,1,5,34557,55.0,30.0,15.0,True,False,False,False
207,24,0,4,18126,51.0,34.0,15.0,False,True,False,False
208,24,2,4,30109,71.43,22.62,5.95,True,False,False,False
209,18,0,3,30137,33.33,44.44,22.22,False,False,True,False
210,20,1,4,42642,63.16,31.58,5.26,False,False,False,False
211,29,1,4,22835,75.95,17.72,6.33,False,False,False,True
212,20,1,5,25699,83.22,9.79,6.99,False,False,False,True
213,27,2,3,21451,68.0,22.0,10.0,False,False,True,False
214,22,2,9,24762,85.0,10.0,5.0,False,False,False,True
215,21,1,5,15111,83.22,9.85,6.93,False,False,False,True
216,28,2,4,21249,83.05,9.77,7.18,False,False,False,True
217,22,1,3,17544,85.0,10.0,5.0,False,False,False,True
218,26,1,6,15425,49.0,31.0,20.0,False,False,True,False
219,25,2,3,29695,73.43,21.6,4.97,False,False,False,False
220,28,2,4,22009,64.52,24.73,10.75,False,False,True,False
221,32,2,8,32600,67.39,27.65,4.97,False,False,False,False
222,24,0,3,42213,51.0,34.0,15.0,False,True,False,False
223,22,0,5,53608,31.11,46.67,22.22,False,False,True,False
224,30,0,4,32481,22.22,55.56,22.22,False,False,True,False
225,28,2,4,13778,68.18,26.14,5.68,True,False,False,False
226,21,1,6,23410,62.5,32.29,5.21,False,False,False,False
227,22,0,5,25227,53.0,32.0,15.0,False,True,False,False
228,18,0,4,20013,36.84,42.11,21.05,True,False,False,False
229,26,1,3,36272,74.0,21.0,5.0,False,True,False,False
230,24,2,5,17628,71.43,22.62,5.95,True,False,False,False
231,27,2,3,42375,68.0,22.0,10.0,False,False,True,False
232,27,1,3,39413,53.0,32.0,15.0,True,False,False,False
233,21,1,7,21136,54.0,26.0,20.0,False,False,True,False
234,32,2,3,10345,67.39,27.65,4.97,False,False,False,False
235,22,1,4,18804,83.1,9.97,6.93,False,False,False,True
236,23,1,7,33057,52.0,28.0,20.0,False,False,True,False
237,32,2,4,34932,61.86,32.99,5.15,False,False,False,False
238,23,2,5,23849,82.19,10.96,6.85,False,True,False,False
239,24,1,5,36306,81.08,12.16,6.76,False,False,False,True
240,20,2,4,37860,70.59,23.53,5.88,False,False,False,False
241,20,0,6,21109,66.67,22.22,11.11,False,False,False,True
242,18,1,6,23137,75.0,18.75,6.25,False,True,False,False
243,22,1,3,21195,78.0,17.0,5.0,False,True,False,False
244,22,2,6,40650,68.97,19.54,11.49,False,False,True,False
245,25,0,4,17873,40.0,50.0,10.0,False,False,False,False
246,18,0,3,46786,70.0,20.0,10.0,False,False,False,True
247,23,2,5,31731,82.58,9.71,7.71,False,False,False,True
248,19,0,6,19249,66.67,22.22,11.11,False,False,False,True
249,24,1,5,14743,56.0,29.0,15.0,True,False,False,False
250,22,1,5,23717,73.17,20.73,6.1,False,True,False,False
251,23,0,3,51185,67.0,23.0,10.0,False,False,False,True
252,21,2,3,29932,76.89,18.14,4.97,False,False,False,False
253,19,0,5,16845,33.33,44.44,22.22,False,False,True,False
254,22,2,3,26268,85.0,10.0,5.0,False,False,False,True
255,28,1,3,25486,72.0,23.0,5.0,False,True,False,False
256,27,1,6,17642,68.97,25.29,5.75,False,True,False,False
257,21,2,9,14281,79.0,16.0,5.0,True,False,False,False
258,21,1,5,22364,54.0,26.0,20.0,False,False,True,False
259,28,1,6,31316,68.18,26.14,5.68,False,True,False,False
260,23,0,7,34290,30.0,47.78,22.22,False,False,True,False
261,24,2,7,22954,85.0,10.0,5.0,False,False,False,True
262,30,1,3,21535,57.01,38.0,4.99,False,False,False,False
263,22,2,3,18281,76.03,19.01,4.97,False,False,False,False
264,20,2,3,39650,77.75,17.28,4.97,False,False,False,False
265,19,2,3,22029,85.0,10.0,5.0,False,False,False,True
266,23,2,7,40307,77.0,18.0,5.0,True,False,False,False
267,24,1,4,21915,56.0,29.0,15.0,True,False,False,False
268,24,0,3,30458,51.0,34.0,15.0,False,True,False,False
269,27,2,3,29583,73.0,22.0,5.0,True,False,False,False
270,26,1,3,35941,54.0,31.0,15.0,True,False,False,False
271,24,0,3,33179,28.89,48.89,22.22,False,False,True,False
272,27,0,4,28218,25.56,52.22,22.22,False,False,True,False
273,32,1,4,41357,73.17,20.73,6.1,False,False,False,True
274,25,2,4,34614,82.77,9.74,7.49,False,False,False,True
275,19,2,5,8199,75.0,18.75,6.25,True,False,False,False
276,18,1,3,29954,85.0,10.0,5.0,False,False,False,True
277,22,2,3,21404,85.0,10.0,5.0,False,True,False,False
278,22,2,7,25906,85.0,10.0,5.0,False,False,False,True
279,22,2,3,36288,78.0,17.0,5.0,True,False,False,False
280,23,0,4,16059,64.52,24.73,10.75,False,False,False,True
281,23,0,7,24405,42.0,48.0,10.0,False,False,False,False
282,26,1,4,26130,54.0,31.0,15.0,True,False,False,False
283,21,2,3,16198,74.0,16.0,10.0,False,False,True,False
284,19,1,3,28905,85.0,10.0,5.0,False,False,False,True
285,27,1,3,23483,83.61,11.4,4.99,False,False,False,True
286,23,1,3,17769,63.66,31.35,4.99,False,False,False,False
287,26,2,4,33561,69.77,24.42,5.81,True,False,False,False
288,18,1,3,31515,85.0,10.0,5.0,False,False,False,True
289,22,0,5,34870,31.11,46.67,22.22,False,False,True,False
290,27,2,5,18645,77.92,15.58,6.49,False,True,False,False
291,26,1,4,26530,59.38,35.63,5.0,False,False,False,False
292,32,0,4,35306,58.0,32.0,10.0,False,False,False,True
293,27,2,3,27316,71.71,23.33,4.97,False,False,False,False
294,26,0,3,55960,49.0,36.0,15.0,False,True,False,False
295,32,0,5,15148,33.0,57.0,10.0,False,False,False,False
296,18,0,4,27484,66.67,22.22,11.11,False,False,False,True
297,27,0,6,26820,48.0,37.0,15.0,False,True,False,False
298,23,0,6,43097,42.0,48.0,10.0,False,False,False,False
299,24,2,3,25028,85.0,10.0,5.0,False,False,False,True
300,18,2,5,18077,83.22,9.79,6.99,False,True,False,False
301,28,2,6,20970,83.05,9.77,7.18,False,False,False,True
302,23,2,3,37100,85.0,10.0,5.0,False,True,False,False
303,23,0,7,14471,67.0,23.0,10.0,False,False,False,True
304,32,1,4,42101,73.17,20.73,6.1,False,False,False,True
305,18,0,5,32752,66.67,22.22,11.11,False,False,False,True
306,24,0,6,11396,32.63,46.32,21.05,True,False,False,False
307,21,2,3,12738,79.0,16.0,5.0,True,False,False,False
308,21,1,6,30857,54.0,26.0,20.0,False,False,True,False
309,20,2,4,22552,82.26,9.68,8.06,False,False,False,True
310,28,2,3,25713,70.84,24.19,4.97,False,False,False,False
311,18,1,6,14801,60.0,25.0,15.0,True,False,False,False
312,26,2,3,25997,85.0,10.0,5.0,False,False,False,True
313,23,1,6,18169,57.0,28.0,15.0,True,False,False,False
314,30,1,4,23138,75.0,18.75,6.25,False,False,False,True
315,26,1,5,26309,78.95,14.47,6.58,False,False,False,True
316,24,0,3,20760,51.0,34.0,15.0,False,True,False,False
317,34,2,6,27785,63.83,30.85,5.32,True,False,False,False
318,23,2,3,16117,72.0,18.0,10.0,False,False,True,False
319,29,1,3,15903,71.0,24.0,5.0,False,True,False,False
320,24,2,5,54474,67.42,26.97,5.62,False,False,False,False
321,27,0,6,10763,29.47,49.47,21.05,True,False,False,False
322,27,1,3,18418,73.0,22.0,5.0,False,True,False,False
323,25,2,7,20504,85.0,10.0,5.0,False,True,False,False
324,20,0,3,23011,55.0,30.0,15.0,False,True,False,False
325,31,1,3,26970,79.81,15.2,4.99,False,False,False,True
326,27,1,7,19517,53.0,32.0,15.0,True,False,False,False
327,23,0,6,14742,52.0,33.0,15.0,False,True,False,False
328,24,2,4,34133,82.67,9.73,7.6,False,False,False,True
329,29,1,6,12391,46.0,34.0,20.0,False,False,True,False
330,22,1,5,26217,58.0,27.0,15.0,True,False,False,False
331,25,0,3,24782,65.0,25.0,10.0,False,False,False,True
332,28,0,7,17108,62.0,28.0,10.0,False,False,False,True
333,24,1,7,17245,76.0,19.0,5.0,False,True,False,False
334,22,2,5,25782,82.47,9.7,7.82,False,False,False,True
335,23,2,5,30535,82.19,10.96,6.85,False,True,False,False
336,19,0,5,18163,45.0,45.0,10.0,False,False,False,False
337,20,0,6,18290,45.0,45.0,10.0,False,False,False,False
338,24,0,6,15655,32.63,46.32,21.05,True,False,False,False
339,24,1,5,14719,51.0,29.0,20.0,False,False,True,False
340,26,2,6,36316,65.93,28.57,5.49,False,False,False,False
341,18,1,4,15215,83.22,9.79,6.99,False,False,False,True
342,19,1,6,19537,83.22,9.79,6.99,False,False,False,True
343,23,1,5,38883,72.29,21.69,6.02,False,True,False,False
344,21,2,5,17071,69.77,18.6,11.63,False,False,True,False
345,23,1,6,34821,61.22,33.67,5.1,False,False,False,False
346,26,2,3,22141,74.0,21.0,5.0,True,False,False,False
347,31,0,7,39488,21.11,56.67,22.22,False,False,True,False
348,20,1,3,30186,60.0,25.0,15.0,True,False,False,False
349,24,0,3,38975,66.0,24.0,10.0,False,False,False,True
350,23,2,4,29926,68.18,26.14,5.68,False,False,False,False
351,28,2,3,18656,70.84,24.19,4.97,False,False,False,False
352,25,0,6,21150,40.0,50.0,10.0,False,False,False,False
353,19,2,3,17710,85.0,10.0,5.0,False,False,False,True
354,28,1,8,36687,47.0,33.0,20.0,False,False,True,False
355,25,1,3,14497,75.0,20.0,5.0,False,True,False,False
356,18,1,3,23374,60.0,25.0,15.0,True,False,False,False
357,25,1,5,19999,55.0,30.0,15.0,True,False,False,False
358,26,1,3,31552,74.0,21.0,5.0,False,True,False,False
359,28,0,6,29132,61.22,28.57,10.2,False,False,False,True
360,22,2,6,37819,82.47,9.7,7.82,False,False,False,True
361,21,1,3,36484,79.0,16.0,5.0,False,True,False,False
362,18,0,3,15232,33.33,44.44,22.22,False,False,True,False
363,29,0,3,28745,27.37,51.58,21.05,True,False,False,False
364,21,0,3,28553,32.22,45.56,22.22,False,False,True,False
365,31,1,7,24893,79.81,15.2,4.99,False,False,False,True
366,22,0,4,28477,31.11,46.67,22.22,False,False,True,False
367,29,2,4,13484,63.83,30.85,5.32,False,False,False,False
368,19,1,8,43483,55.0,25.0,20.0,False,False,True,False
369,25,0,3,21435,31.58,47.37,21.05,True,False,False,False
370,26,2,5,36928,65.93,23.08,10.99,False,False,True,False
371,23,2,8,19380,85.0,10.0,5.0,False,True,False,False
372,27,2,3,25293,71.71,23.33,4.97,False,False,False,False
373,27,2,4,14198,65.22,23.91,10.87,False,False,True,False
374,29,0,7,24199,27.37,51.58,21.05,True,False,False,False
375,19,1,3,12371,66.51,28.5,4.99,False,False,False,False
376,21,2,3,23666,85.0,10.0,5.0,False,True,False,False
377,29,2,6,15028,67.42,26.97,5.62,True,False,False,False
378,28,0,5,38515,28.42,50.53,21.05,True,False,False,False
379,29,0,4,19530,36.0,54.0,10.0,False,False,False,False
380,26,0,6,29468,49.0,36.0,15.0,False,True,False,False
381,25,2,3,23380,85.0,10.0,5.0,False,False,False,True
382,20,2,3,42863,77.75,17.28,4.97,False,False,False,False
383,23,0,4,21069,52.0,33.0,15.0,False,True,False,False
384,25,1,3,13940,85.0,10.0,5.0,False,False,False,True
385,19,0,6,22101,33.33,44.44,22.22,False,False,True,False
386,19,1,3,18475,66.51,28.5,4.99,False,False,False,False
387,21,1,4,23113,62.5,32.29,5.21,False,False,False,False
388,18,1,8,26598,55.0,25.0,20.0,False,False,True,False
389,25,2,3,18581,85.0,10.0,5.0,False,True,False,False
390,22,0,5,25448,53.0,32.0,15.0,False,True,False,False
391,26,2,6,29887,65.93,23.08,10.99,False,False,True,False
392,28,0,3,39820,47.0,38.0,15.0,False,True,False,False
393,26,0,3,29613,30.53,48.42,21.05,True,False,False,False
394,20,1,5,15838,83.22,9.79,6.99,False,False,False,True
395,27,1,4,27673,53.0,32.0,15.0,True,False,False,False
396,28,1,4,31175,68.18,26.14,5.68,False,True,False,False
397,22,0,6,36194,34.74,44.21,21.05,True,False,False,False
398,25,0,6,26376,31.58,47.37,21.05,True,False,False,False
399,25,1,3,20795,50.0,30.0,20.0,False,False,True,False
400,24,2,3,16817,71.0,19.0,10.0,False,False,True,False
401,24,0,5,49513,63.83,25.53,10.64,False,False,False,True
402,24,2,8,66978,85.0,10.0,5.0,False,True,False,False
403,23,1,4,21306,61.22,33.67,5.1,False,False,False,False
404,24,1,5,22125,71.43,22.62,5.95,False,True,False,False
405,23,1,5,23480,72.29,21.69,6.02,False,True,False,False
406,19,2,4,39506,70.59,23.53,5.88,False,False,False,False
407,24,0,3,15031,51.0,34.0,15.0,False,True,False,False
408,21,0,7,46027,69.0,21.0,10.0,False,False,False,True
409,21,2,4,27769,83.22,9.85,6.93,False,True,False,False
410,18,2,4,15529,82.26,9.68,8.06,False,False,False,True
411,21,2,6,40779,69.77,18.6,11.63,False,False,True,False
412,28,0,4,40302,28.42,50.53,21.05,True,False,False,False
413,25,2,3,26788,85.0,10.0,5.0,False,False,False,True
414,25,1,3,20699,61.76,33.25,4.99,False,False,False,False
415,29,2,5,37207,63.83,30.85,5.32,False,False,False,False
416,27,2,3,23470,68.0,22.0,10.0,False,False,True,False
417,20,0,3,14913,33.33,44.44,22.22,False,False,True,False
418,27,0,5,24711,61.86,27.84,10.31,False,False,False,True
419,23,1,6,30050,72.29,21.69,6.02,False,True,False,False
420,23,2,5,10839,68.18,26.14,5.68,False,False,False,False
421,23,0,8,31022,33.68,45.26,21.05,True,False,False,False
422,23,1,8,19651,52.0,28.0,20.0,False,False,True,False
423,24,1,3,18622,56.0,29.0,15.0,True,False,False,False
424,29,1,4,27275,51.0,34.0,15.0,True,False,False,False
425,29,0,3,21509,23.33,54.44,22.22,False,False,True,False
426,29,0,6,24459,46.0,39.0,15.0,False,True,False,False
427,24,1,5,14906,56.0,29.0,15.0,True,False,False,False
428,23,1,7,25100,63.66,31.35,4.99,False,False,False,False
429,23,0,3,15638,33.68,45.26,21.05,True,False,False,False
430,21,2,3,28451,85.0,10.0,5.0,False,False,False,True
431,30,1,6,36823,66.67,27.78,5.56,False,True,False,False
432,26,0,3,22460,39.0,51.0,10.0,False,False,False,False
433,28,1,3,28115,82.66,12.35,4.99,False,False,False,True
434,27,2,6,19929,68.97,25.29,5.75,True,False,False,False
435,18,0,8,21327,55.0,30.0,15.0,False,True,False,False
436,27,1,6,24891,53.0,32.0,15.0,True,False,False,False
437,23,0,5,12166,52.0,33.0,15.0,False,True,False,False
438,22,1,6,26705,61.86,32.99,5.15,False,False,False,False
439,25,0,4,39610,27.78,50.0,22.22,False,False,True,False
440,18,0,4,37789,36.84,42.11,21.05,True,False,False,False
441,25,0,3,20413,50.0,35.0,15.0,False,True,False,False
442,23,1,9,39759,63.66,31.35,4.99,False,False,False,False
443,30,1,7,23192,57.01,38.0,4.99,False,False,False,False
444,28,0,3,33719,28.42,50.53,21.05,True,False,False,False
445,21,2,3,17844,85.0,10.0,5.0,False,True,False,False
446,24,0,6,37536,41.0,49.0,10.0,False,False,False,False
447,26,0,3,28332,39.0,51.0,10.0,False,False,False,False
