age,risk,goal,horizon,capital,equity,mf,cash
22,high,short_term,3,31901,73.0,17.0,10.0
26,low,retirement,6,32538,49.0,36.0,15.0
24,medium,wealth,4,39137,81.08,12.16,6.76
29,high,income,5,24194,63.83,30.85,5.32
29,low,wealth,5,25291,60.61,29.29,10.1
20,low,short_term,3,25804,33.33,44.44,22.22
31,low,retirement,7,28708,44.0,41.0,15.0
20,medium,retirement,3,48249,80.0,15.0,5.0
21,medium,income,4,26737,62.5,32.29,5.21
23,medium,short_term,3,29384,52.0,28.0,20.0
28,medium,preservation,7,12345,52.0,33.0,15.0
33,low,short_term,3,45437,18.89,58.89,22.22
21,low,wealth,3,26689,69.0,21.0,10.0
20,low,preservation,4,20708,36.84,42.11,21.05
31,medium,preservation,3,28825,49.0,36.0,15.0
29,high,preservation,8,58181,71.0,24.0,5.0
18,high,retirement,3,24564,85.0,10.0,5.0
32,medium,wealth,5,28496,73.17,20.73,6.1
26,low,wealth,4,22590,62.5,27.08,10.42
24,medium,retirement,3,36346,76.0,19.0,5.0
25,high,preservation,6,22394,70.59,23.53,5.88
21,low,wealth,4,19231,65.93,23.08,10.99
20,low,wealth,3,38399,70.0,20.0,10.0
23,medium,income,5,13981,61.22,33.67,5.1
24,medium,retirement,3,38524,76.0,19.0,5.0
26,high,income,5,12877,65.93,28.57,5.49
18,high,retirement,3,30904,85.0,10.0,5.0
26,medium,preservation,5,39957,54.0,31.0,15.0
30,low,preservation,3,51260,26.32,52.63,21.05
25,low,preservation,6,26847,31.58,47.37,21.05
26,medium,retirement,3,26467,74.0,21.0,5.0
24,low,income,3,27546,41.0,49.0,10.0
32,medium,wealth,4,34621,73.17,20.73,6.1
28,medium,income,9,24906,58.91,36.1,4.99
24,low,short_term,8,42529,28.89,48.89,22.22
30,low,income,3,20365,35.0,55.0,10.0
26,medium,income,3,32075,60.81,34.2,4.99
25,medium,preservation,7,23210,55.0,30.0,15.0
24,medium,preservation,5,23978,56.0,29.0,15.0
22,high,preservation,3,17145,78.0,17.0,5.0
26,medium,income,4,15180,59.38,35.63,5.0
18,low,wealth,3,20689,70.0,20.0,10.0
21,medium,short_term,3,23075,54.0,26.0,20.0
21,medium,retirement,3,31298,79.0,16.0,5.0
25,medium,wealth,5,30667,80.0,13.33,6.67
18,high,income,4,18122,70.59,23.53,5.88
23,high,preservation,5,18071,72.29,21.69,6.02
20,low,preservation,3,37005,36.84,42.11,21.05
19,medium,short_term,4,28357,55.0,25.0,20.0
23,low,short_term,3,15500,30.0,47.78,22.22
23,high,income,3,11246,75.16,19.87,4.97
22,high,wealth,3,25551,85.0,10.0,5.0
24,high,retirement,6,21294,81.08,12.16,6.76
22,medium,income,3,20634,64.61,30.4,4.99
18,high,income,4,28546,70.59,23.53,5.88
23,high,retirement,3,16875,85.0,10.0,5.0
21,low,preservation,8,25688,35.79,43.16,21.05
25,low,wealth,6,34735,63.16,26.32,10.53
25,low,short_term,7,23786,27.78,50.0,22.22
20,low,short_term,6,48070,33.33,44.44,22.22
22,high,wealth,5,24872,82.47,9.7,7.82
31,low,short_term,3,23101,21.11,56.67,22.22
26,high,retirement,8,18398,85.0,10.0,5.0
20,low,short_term,5,16970,33.33,44.44,22.22
27,high,retirement,6,22590,77.92,15.58,6.49
18,medium,retirement,3,18399,80.0,15.0,5.0
28,medium,retirement,3,22814,72.0,23.0,5.0
22,medium,short_term,5,23031,53.0,27.0,20.0
24,high,preservation,6,12128,71.43,22.62,5.95
25,high,income,3,17110,73.43,21.6,4.97
24,medium,income,5,18433,60.61,34.34,5.05
24,high,wealth,6,19392,82.67,9.73,7.6
26,high,income,6,22284,65.93,28.57,5.49
24,medium,preservation,4,23268,56.0,29.0,15.0
21,low,short_term,4,15063,32.22,45.56,22.22
19,high,wealth,7,68174,85.0,10.0,5.0
29,medium,short_term,3,25179,46.0,34.0,20.0
28,medium,short_term,5,40289,47.0,33.0,20.0
18,high,income,4,19912,70.59,23.53,5.88
21,medium,wealth,5,28063,83.22,9.85,6.93
20,medium,income,6,26373,63.16,31.58,5.26
29,high,retirement,3,24732,82.35,12.67,4.98
28,high,wealth,5,21891,83.05,9.77,7.18
28,medium,income,6,24782,58.17,36.84,4.99
28,low,short_term,5,24733,24.44,53.33,22.22
21,medium,preservation,7,15838,59.0,26.0,15.0
25,medium,wealth,3,22852,85.0,10.0,5.0
18,low,preservation,5,25169,36.84,42.11,21.05
25,high,wealth,5,17749,82.77,9.74,7.49
25,low,wealth,3,16611,65.0,25.0,10.0
22,medium,wealth,3,22334,85.0,10.0,5.0
22,high,preservation,4,23375,73.17,20.73,6.1
25,high,wealth,3,31425,85.0,10.0,5.0
25,medium,wealth,3,22522,85.0,10.0,5.0
18,high,short_term,3,34141,75.0,15.0,10.0
19,low,retirement,6,34988,55.0,30.0,15.0
22,low,preservation,3,33740,34.74,44.21,21.05
28,low,retirement,3,34645,47.0,38.0,15.0
25,medium,preservation,3,32943,55.0,30.0,15.0
30,low,short_term,6,35130,22.22,55.56,22.22
25,medium,short_term,4,25045,50.0,30.0,20.0
23,high,retirement,3,27412,85.0,10.0,5.0
28,high,short_term,4,12685,64.52,24.73,10.75
18,high,preservation,5,11303,75.0,18.75,6.25
23,low,preservation,6,13643,33.68,45.26,21.05
27,medium,retirement,3,37451,73.0,22.0,5.0
21,low,short_term,3,19918,32.22,45.56,22.22
26,low,preservation,3,25350,30.53,48.42,21.05
26,high,preservation,3,24868,74.0,21.0,5.0
20,low,wealth,4,22752,66.67,22.22,11.11
25,high,income,7,37571,73.43,21.6,4.97
22,medium,short_term,3,23943,53.0,27.0,20.0
25,low,short_term,4,40014,27.78,50.0,22.22
23,high,preservation,3,33822,77.0,18.0,5.0
20,medium,retirement,5,24777,75.0,18.75,6.25
21,medium,preservation,7,28754,59.0,26.0,15.0
24,low,preservation,6,51798,32.63,46.32,21.05
28,high,income,6,24235,64.52,30.11,5.38
27,medium,retirement,8,13913,73.0,22.0,5.0
29,medium,wealth,4,22585,75.95,17.72,6.33
26,medium,income,3,14959,60.81,34.2,4.99
22,low,preservation,7,16796,34.74,44.21,21.05
26,medium,income,5,19544,59.38,35.63,5.0
20,low,wealth,3,46364,70.0,20.0,10.0
20,medium,preservation,3,31782,60.0,25.0,15.0
25,medium,wealth,5,27304,80.0,13.33,6.67
26,low,retirement,3,23612,49.0,36.0,15.0
24,low,retirement,4,34677,51.0,34.0,15.0
26,low,wealth,4,13162,62.5,27.08,10.42
21,high,retirement,4,19426,83.22,9.85,6.93
25,medium,short_term,7,21857,50.0,30.0,20.0
23,medium,preservation,7,36468,57.0,28.0,15.0
23,high,wealth,4,24845,82.58,9.71,7.71
27,low,preservation,4,39279,29.47,49.47,21.05
23,low,retirement,4,22032,52.0,33.0,15.0
25,medium,retirement,5,33071,70.59,23.53,5.88
23,medium,preservation,5,32021,57.0,28.0,15.0
23,high,income,3,49750,75.16,19.87,4.97
31,high,retirement,3,21600,80.54,14.48,4.98
20,medium,wealth,3,15203,85.0,10.0,5.0
19,medium,income,4,29952,63.16,31.58,5.26
27,medium,retirement,5,29809,68.97,25.29,5.75
24,medium,short_term,3,40973,51.0,29.0,20.0
29,high,short_term,7,22359,66.0,24.0,10.0
29,medium,short_term,4,18441,46.0,34.0,20.0
25,medium,preservation,5,34557,55.0,30.0,15.0
24,low,retirement,4,18126,51.0,34.0,15.0
24,high,preservation,4,30109,71.43,22.62,5.95
18,low,short_term,3,30137,33.33,44.44,22.22
20,medium,income,4,42642,63.16,31.58,5.26
29,medium,wealth,4,22835,75.95,17.72,6.33
20,medium,wealth,5,25699,83.22,9.79,6.99
27,high,short_term,3,21451,68.0,22.0,10.0
22,high,wealth,9,24762,85.0,10.0,5.0
21,medium,wealth,5,15111,83.22,9.85,6.93
28,high,wealth,4,21249,83.05,9.77,7.18
22,medium,wealth,3,17544,85.0,10.0,5.0
26,medium,short_term,6,15425,49.0,31.0,20.0
25,high,income,3,29695,73.43,21.6,4.97
28,high,short_term,4,22009,64.52,24.73,10.75
32,high,income,8,32600,67.39,27.65,4.97
24,low,retirement,3,42213,51.0,34.0,15.0
22,low,short_term,5,53608,31.11,46.67,22.22
30,low,short_term,4,32481,22.22,55.56,22.22
28,high,preservation,4,13778,68.18,26.14,5.68
21,medium,income,6,23410,62.5,32.29,5.21
22,low,retirement,5,25227,53.0,32.0,15.0
18,low,preservation,4,20013,36.84,42.11,21.05
26,medium,retirement,3,36272,74.0,21.0,5.0
24,high,preservation,5,17628,71.43,22.62,5.95
27,high,short_term,3,42375,68.0,22.0,10.0
27,medium,preservation,3,39413,53.0,32.0,15.0
21,medium,short_term,7,21136,54.0,26.0,20.0
32,high,income,3,10345,67.39,27.65,4.97
22,medium,wealth,4,18804,83.1,9.97,6.93
23,medium,short_term,7,33057,52.0,28.0,20.0
32,high,income,4,34932,61.86,32.99,5.15
23,high,retirement,5,23849,82.19,10.96,6.85
24,medium,wealth,5,36306,81.08,12.16,6.76
20,high,income,4,37860,70.59,23.53,5.88
20,low,wealth,6,21109,66.67,22.22,11.11
18,medium,retirement,6,23137,75.0,18.75,6.25
22,medium,retirement,3,21195,78.0,17.0,5.0
22,high,short_term,6,40650,68.97,19.54,11.49
25,low,income,4,17873,40.0,50.0,10.0
18,low,wealth,3,46786,70.0,20.0,10.0
23,high,wealth,5,31731,82.58,9.71,7.71
19,low,wealth,6,19249,66.67,22.22,11.11
24,medium,preservation,5,14743,56.0,29.0,15.0
22,medium,retirement,5,23717,73.17,20.73,6.1
23,low,wealth,3,51185,67.0,23.0,10.0
21,high,income,3,29932,76.89,18.14,4.97
19,low,short_term,5,16845,33.33,44.44,22.22
22,high,wealth,3,26268,85.0,10.0,5.0
28,medium,retirement,3,25486,72.0,23.0,5.0
27,medium,retirement,6,17642,68.97,25.29,5.75
21,high,preservation,9,14281,79.0,16.0,5.0
21,medium,short_term,5,22364,54.0,26.0,20.0
28,medium,retirement,6,31316,68.18,26.14,5.68
23,low,short_term,7,34290,30.0,47.78,22.22
24,high,wealth,7,22954,85.0,10.0,5.0
30,medium,income,3,21535,57.01,38.0,4.99
22,high,income,3,18281,76.03,19.01,4.97
20,high,income,3,39650,77.75,17.28,4.97
19,high,wealth,3,22029,85.0,10.0,5.0
23,high,preservation,7,40307,77.0,18.0,5.0
24,medium,preservation,4,21915,56.0,29.0,15.0
24,low,retirement,3,30458,51.0,34.0,15.0
27,high,preservation,3,29583,73.0,22.0,5.0
26,medium,preservation,3,35941,54.0,31.0,15.0
24,low,short_term,3,33179,28.89,48.89,22.22
27,low,short_term,4,28218,25.56,52.22,22.22
32,medium,wealth,4,41357,73.17,20.73,6.1
25,high,wealth,4,34614,82.77,9.74,7.49
19,high,preservation,5,8199,75.0,18.75,6.25
18,medium,wealth,3,29954,85.0,10.0,5.0
22,high,retirement,3,21404,85.0,10.0,5.0
22,high,wealth,7,25906,85.0,10.0,5.0
22,high,preservation,3,36288,78.0,17.0,5.0
23,low,wealth,4,16059,64.52,24.73,10.75
23,low,income,7,24405,42.0,48.0,10.0
26,medium,preservation,4,26130,54.0,31.0,15.0
21,high,short_term,3,16198,74.0,16.0,10.0
19,medium,wealth,3,28905,85.0,10.0,5.0
27,medium,wealth,3,23483,83.61,11.4,4.99
23,medium,income,3,17769,63.66,31.35,4.99
26,high,preservation,4,33561,69.77,24.42,5.81
18,medium,wealth,3,31515,85.0,10.0,5.0
22,low,short_term,5,34870,31.11,46.67,22.22
27,high,retirement,5,18645,77.92,15.58,6.49
26,medium,income,4,26530,59.38,35.63,5.0
32,low,wealth,4,35306,58.0,32.0,10.0
27,high,income,3,27316,71.71,23.33,4.97
26,low,retirement,3,55960,49.0,36.0,15.0
32,low,income,5,15148,33.0,57.0,10.0
18,low,wealth,4,27484,66.67,22.22,11.11
27,low,retirement,6,26820,48.0,37.0,15.0
23,low,income,6,43097,42.0,48.0,10.0
24,high,wealth,3,25028,85.0,10.0,5.0
18,high,retirement,5,18077,83.22,9.79,6.99
28,high,wealth,6,20970,83.05,9.77,7.18
23,high,retirement,3,37100,85.0,10.0,5.0
23,low,wealth,7,14471,67.0,23.0,10.0
32,medium,wealth,4,42101,73.17,20.73,6.1
18,low,wealth,5,32752,66.67,22.22,11.11
24,low,preservation,6,11396,32.63,46.32,21.05
21,high,preservation,3,12738,79.0,16.0,5.0
21,medium,short_term,6,30857,54.0,26.0,20.0
20,high,wealth,4,22552,82.26,9.68,8.06
28,high,income,3,25713,70.84,24.19,4.97
18,medium,preservation,6,14801,60.0,25.0,15.0
26,high,wealth,3,25997,85.0,10.0,5.0
23,medium,preservation,6,18169,57.0,28.0,15.0
30,medium,wealth,4,23138,75.0,18.75,6.25
26,medium,wealth,5,26309,78.95,14.47,6.58
24,low,retirement,3,20760,51.0,34.0,15.0
34,high,preservation,6,27785,63.83,30.85,5.32
23,high,short_term,3,16117,72.0,18.0,10.0
29,medium,retirement,3,15903,71.0,24.0,5.0
24,high,income,5,54474,67.42,26.97,5.62
27,low,preservation,6,10763,29.47,49.47,21.05
27,medium,retirement,3,18418,73.0,22.0,5.0
25,high,retirement,7,20504,85.0,10.0,5.0
20,low,retirement,3,23011,55.0,30.0,15.0
31,medium,wealth,3,26970,79.81,15.2,4.99
27,medium,preservation,7,19517,53.0,32.0,15.0
23,low,retirement,6,14742,52.0,33.0,15.0
24,high,wealth,4,34133,82.67,9.73,7.6
29,medium,short_term,6,12391,46.0,34.0,20.0
22,medium,preservation,5,26217,58.0,27.0,15.0
25,low,wealth,3,24782,65.0,25.0,10.0
28,low,wealth,7,17108,62.0,28.0,10.0
24,medium,retirement,7,17245,76.0,19.0,5.0
22,high,wealth,5,25782,82.47,9.7,7.82
23,high,retirement,5,30535,82.19,10.96,6.85
19,low,income,5,18163,45.0,45.0,10.0
20,low,income,6,18290,45.0,45.0,10.0
24,low,preservation,6,15655,32.63,46.32,21.05
24,medium,short_term,5,14719,51.0,29.0,20.0
26,high,income,6,36316,65.93,28.57,5.49
18,medium,wealth,4,15215,83.22,9.79,6.99
19,medium,wealth,6,19537,83.22,9.79,6.99
23,medium,retirement,5,38883,72.29,21.69,6.02
21,high,short_term,5,17071,69.77,18.6,11.63
23,medium,income,6,34821,61.22,33.67,5.1
26,high,preservation,3,22141,74.0,21.0,5.0
31,low,short_term,7,39488,21.11,56.67,22.22
20,medium,preservation,3,30186,60.0,25.0,15.0
24,low,wealth,3,38975,66.0,24.0,10.0
23,high,income,4,29926,68.18,26.14,5.68
28,high,income,3,18656,70.84,24.19,4.97
25,low,income,6,21150,40.0,50.0,10.0
19,high,wealth,3,17710,85.0,10.0,5.0
28,medium,short_term,8,36687,47.0,33.0,20.0
25,medium,retirement,3,14497,75.0,20.0,5.0
18,medium,preservation,3,23374,60.0,25.0,15.0
25,medium,preservation,5,19999,55.0,30.0,15.0
26,medium,retirement,3,31552,74.0,21.0,5.0
28,low,wealth,6,29132,61.22,28.57,10.2
22,high,wealth,6,37819,82.47,9.7,7.82
21,medium,retirement,3,36484,79.0,16.0,5.0
18,low,short_term,3,15232,33.33,44.44,22.22
29,low,preservation,3,28745,27.37,51.58,21.05
21,low,short_term,3,28553,32.22,45.56,22.22
31,medium,wealth,7,24893,79.81,15.2,4.99
22,low,short_term,4,28477,31.11,46.67,22.22
29,high,income,4,13484,63.83,30.85,5.32
19,medium,short_term,8,43483,55.0,25.0,20.0
25,low,preservation,3,21435,31.58,47.37,21.05
26,high,short_term,5,36928,65.93,23.08,10.99
23,high,retirement,8,19380,85.0,10.0,5.0
27,high,income,3,25293,71.71,23.33,4.97
27,high,short_term,4,14198,65.22,23.91,10.87
29,low,preservation,7,24199,27.37,51.58,21.05
19,medium,income,3,12371,66.51,28.5,4.99
21,high,retirement,3,23666,85.0,10.0,5.0
29,high,preservation,6,15028,67.42,26.97,5.62
28,low,preservation,5,38515,28.42,50.53,21.05
29,low,income,4,19530,36.0,54.0,10.0
26,low,retirement,6,29468,49.0,36.0,15.0
25,high,wealth,3,23380,85.0,10.0,5.0
20,high,income,3,42863,77.75,17.28,4.97
23,low,retirement,4,21069,52.0,33.0,15.0
25,medium,wealth,3,13940,85.0,10.0,5.0
19,low,short_term,6,22101,33.33,44.44,22.22
19,medium,income,3,18475,66.51,28.5,4.99
21,medium,income,4,23113,62.5,32.29,5.21
18,medium,short_term,8,26598,55.0,25.0,20.0
25,high,retirement,3,18581,85.0,10.0,5.0
22,low,retirement,5,25448,53.0,32.0,15.0
26,high,short_term,6,29887,65.93,23.08,10.99
28,low,retirement,3,39820,47.0,38.0,15.0
26,low,preservation,3,29613,30.53,48.42,21.05
20,medium,wealth,5,15838,83.22,9.79,6.99
27,medium,preservation,4,27673,53.0,32.0,15.0
28,medium,retirement,4,31175,68.18,26.14,5.68
22,low,preservation,6,36194,34.74,44.21,21.05
25,low,preservation,6,26376,31.58,47.37,21.05
25,medium,short_term,3,20795,50.0,30.0,20.0
24,high,short_term,3,16817,71.0,19.0,10.0
24,low,wealth,5,49513,63.83,25.53,10.64
24,high,retirement,8,66978,85.0,10.0,5.0
23,medium,income,4,21306,61.22,33.67,5.1
24,medium,retirement,5,22125,71.43,22.62,5.95
23,medium,retirement,5,23480,72.29,21.69,6.02
19,high,income,4,39506,70.59,23.53,5.88
24,low,retirement,3,15031,51.0,34.0,15.0
21,low,wealth,7,46027,69.0,21.0,10.0
21,high,retirement,4,27769,83.22,9.85,6.93
18,high,wealth,4,15529,82.26,9.68,8.06
21,high,short_term,6,40779,69.77,18.6,11.63
28,low,preservation,4,40302,28.42,50.53,21.05
25,high,wealth,3,26788,85.0,10.0,5.0
25,medium,income,3,20699,61.76,33.25,4.99
29,high,income,5,37207,63.83,30.85,5.32
27,high,short_term,3,23470,68.0,22.0,10.0
20,low,short_term,3,14913,33.33,44.44,22.22
27,low,wealth,5,24711,61.86,27.84,10.31
23,medium,retirement,6,30050,72.29,21.69,6.02
23,high,income,5,10839,68.18,26.14,5.68
23,low,preservation,8,31022,33.68,45.26,21.05
23,medium,short_term,8,19651,52.0,28.0,20.0
24,medium,preservation,3,18622,56.0,29.0,15.0
29,medium,preservation,4,27275,51.0,34.0,15.0
29,low,short_term,3,21509,23.33,54.44,22.22
29,low,retirement,6,24459,46.0,39.0,15.0
24,medium,preservation,5,14906,56.0,29.0,15.0
23,medium,income,7,25100,63.66,31.35,4.99
23,low,preservation,3,15638,33.68,45.26,21.05
21,high,wealth,3,28451,85.0,10.0,5.0
30,medium,retirement,6,36823,66.67,27.78,5.56
26,low,income,3,22460,39.0,51.0,10.0
28,medium,wealth,3,28115,82.66,12.35,4.99
27,high,preservation,6,19929,68.97,25.29,5.75
18,low,retirement,8,21327,55.0,30.0,15.0
27,medium,preservation,6,24891,53.0,32.0,15.0
23,low,retirement,5,12166,52.0,33.0,15.0
22,medium,income,6,26705,61.86,32.99,5.15
25,low,short_term,4,39610,27.78,50.0,22.22
18,low,preservation,4,37789,36.84,42.11,21.05
25,low,retirement,3,20413,50.0,35.0,15.0
23,medium,income,9,39759,63.66,31.35,4.99
30,medium,income,7,23192,57.01,38.0,4.99
28,low,preservation,3,33719,28.42,50.53,21.05
21,high,retirement,3,17844,85.0,10.0,5.0
24,low,income,6,37536,41.0,49.0,10.0
26,low,income,3,28332,39.0,51.0,10.0
25,medium,wealth,3,21947,85.0,10.0,5.0
21,medium,retirement,6,25566,74.07,19.75,6.17
30,low,preservation,8,18722,26.32,52.63,21.05
19,medium,retirement,6,31626,75.0,18.75,6.25
21,high,wealth,6,35647,82.37,9.69,7.94
27,low,short_term,6,38831,25.56,52.22,22.22
20,low,retirement,5,27069,55.0,30.0,15.0
23,low,short_term,4,22948,30.0,47.78,22.22
18,low,retirement,4,37750,55.0,30.0,15.0
26,medium,income,5,13935,59.38,35.63,5.0
19,medium,wealth,8,18805,85.0,10.0,5.0
24,high,preservation,7,12492,76.0,19.0,5.0
27,high,wealth,6,31945,82.96,9.76,7.28
22,high,income,4,33007,68.97,25.29,5.75
27,high,preservation,7,27187,73.0,22.0,5.0
27,low,wealth,3,34989,63.0,27.0,10.0
30,high,preservation,5,17277,66.67,27.78,5.56
21,medium,retirement,3,28186,79.0,16.0,5.0
21,high,retirement,3,32118,85.0,10.0,5.0
22,medium,income,9,21640,64.61,30.4,4.99
27,medium,short_term,3,22031,48.0,32.0,20.0
26,medium,short_term,5,43893,49.0,31.0,20.0
22,high,income,5,17672,68.97,25.29,5.75
22,high,preservation,7,33668,78.0,17.0,5.0
27,medium,retirement,4,12638,68.97,25.29,5.75
21,medium,wealth,4,14627,83.22,9.85,6.93
24,low,wealth,6,19767,63.83,25.53,10.64
24,high,short_term,6,41941,67.42,21.35,11.24
25,low,preservation,9,24722,31.58,47.37,21.05
30,low,income,3,30472,35.0,55.0,10.0
20,medium,preservation,5,24736,60.0,25.0,15.0
23,medium,retirement,5,28942,72.29,21.69,6.02
22,high,preservation,5,22400,73.17,20.73,6.1
28,high,short_term,5,18253,64.52,24.73,10.75
24,low,short_term,5,20776,28.89,48.89,22.22
27,medium,short_term,6,13783,48.0,32.0,20.0
22,high,retirement,6,12984,83.1,9.97,6.93
26,low,short_term,7,23781,26.67,51.11,22.22
18,medium,retirement,4,27371,75.0,18.75,6.25
24,low,short_term,4,18087,28.89,48.89,22.22
18,high,preservation,9,30983,80.0,15.0,5.0
25,high,short_term,3,21475,70.0,20.0,10.0
23,low,preservation,4,20466,33.68,45.26,21.05
26,low,retirement,3,11293,49.0,36.0,15.0
26,high,preservation,4,20231,69.77,24.42,5.81
31,high,preservation,10,22014,69.0,26.0,5.0
21,high,retirement,3,13845,85.0,10.0,5.0
19,medium,wealth,5,34811,83.22,9.79,6.99
20,medium,retirement,7,21451,80.0,15.0,5.0
21,high,wealth,9,15567,85.0,10.0,5.0
22,high,retirement,4,21916,83.1,9.97,6.93
19,high,short_term,3,24022,75.0,15.0,10.0
27,high,short_term,7,31111,68.0,22.0,10.0
28,low,retirement,7,22866,47.0,38.0,15.0
26,low,short_term,4,18564,26.67,51.11,22.22
24,high,income,6,22479,67.42,26.97,5.62
19,medium,wealth,6,23890,83.22,9.79,6.99
23,high,preservation,3,24812,77.0,18.0,5.0
29,medium,preservation,4,17267,51.0,34.0,15.0
29,high,preservation,4,18737,67.42,26.97,5.62
19,high,preservation,4,25158,75.0,18.75,6.25
22,low,preservation,4,36416,34.74,44.21,21.05
22,medium,preservation,4,41730,58.0,27.0,15.0
23,medium,preservation,3,19534,57.0,28.0,15.0
19,high,preservation,5,31548,75.0,18.75,6.25
23,high,short_term,7,22028,72.0,18.0,10.0
28,medium,income,3,31869,58.91,36.1,4.99
24,high,wealth,6,19910,82.67,9.73,7.6
22,medium,short_term,6,20651,53.0,27.0,20.0
26,medium,retirement,8,18049,74.0,21.0,5.0
24,high,retirement,3,21817,85.0,10.0,5.0
25,high,income,5,47036,66.67,27.78,5.56
24,medium,preservation,4,13750,56.0,29.0,15.0
24,low,wealth,4,30665,63.83,25.53,10.64
35,low,short_term,3,28897,16.67,61.11,22.22
20,medium,short_term,3,34914,55.0,25.0,20.0
21,medium,preservation,3,16459,59.0,26.0,15.0
24,low,retirement,5,19945,51.0,34.0,15.0
25,low,income,8,45647,40.0,50.0,10.0
18,low,short_term,6,23154,33.33,44.44,22.22
25,high,preservation,3,22425,75.0,20.0,5.0
25,high,retirement,4,16183,80.0,13.33,6.67
33,medium,short_term,8,36630,42.0,38.0,20.0
29,medium,income,4,42822,57.58,37.43,4.99
27,low,wealth,3,24309,63.0,27.0,10.0
21,high,preservation,7,35048,79.0,16.0,5.0
24,medium,preservation,4,28428,56.0,29.0,15.0
18,low,retirement,3,30309,55.0,30.0,15.0
30,medium,retirement,3,36879,70.0,25.0,5.0
23,low,income,6,37143,42.0,48.0,10.0
29,low,wealth,4,27939,60.61,29.29,10.1
24,medium,preservation,6,33422,56.0,29.0,15.0
22,low,preservation,8,32773,34.74,44.21,21.05
21,low,wealth,3,23125,69.0,21.0,10.0
22,high,retirement,5,15663,83.1,9.97,6.93
32,medium,wealth,3,9054,78.86,16.15,4.99
18,medium,retirement,3,22964,80.0,15.0,5.0
26,medium,income,9,23785,60.81,34.2,4.99
18,medium,short_term,6,28465,55.0,25.0,20.0
22,high,income,3,21740,76.03,19.01,4.97
25,high,wealth,3,23419,85.0,10.0,5.0
20,medium,wealth,4,27267,83.22,9.79,6.99
26,high,retirement,4,14814,78.95,14.47,6.58
26,low,preservation,7,13646,30.53,48.42,21.05
27,high,income,3,14996,71.71,23.33,4.97
24,high,short_term,3,31896,71.0,19.0,10.0
26,high,short_term,3,26284,69.0,21.0,10.0
23,medium,preservation,5,19782,57.0,28.0,15.0
24,low,income,3,30937,41.0,49.0,10.0
23,medium,wealth,4,15445,82.19,10.96,6.85
